Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
B-25135,1096,658,7,Electronics,Electronic Games,COD
B-25136,5729,64,14,Furniture,Chairs,EMI
B-25137,2927,146,8,Furniture,Bookcases,EMI
B-25138,2847,712,8,Electronics,Printers,Credit Card
B-25139,2617,1151,4,Electronics,Phones,Credit Card
B-25140,2244,247,4,Clothing,Trousers,Credit Card
B-25141,275,-275,4,Clothing,Saree,COD
B-25142,387,-213,5,Clothing,Saree,UPI
B-25143,50,-44,2,Clothing,Hankerchief,UPI
B-25144,135,-54,5,Clothing,Kurti,COD
B-25145,231,-190,9,Clothing,Hankerchief,COD
B-25146,2125,-234,6,Electronics,Printers,EMI
B-25147,3873,-891,6,Electronics,Phones,Credit Card
B-25148,729,-492,5,Furniture,Bookcases,UPI
B-25149,2188,1050,5,Furniture,Bookcases,Credit Card
B-25150,6,-3,1,Clothing,Hankerchief,UPI
B-25151,1854,433,5,Furniture,Bookcases,Credit Card
B-25152,6,1,1,Clothing,Kurti,UPI
B-25153,2093,721,5,Furniture,Chairs,Credit Card
B-25154,7,-1,2,Clothing,Skirt,UPI
B-25155,1622,-624,5,Furniture,Tables,Credit Card
B-25156,1622,95,5,Electronics,Printers,Credit Card
B-25157,373,254,6,Electronics,Printers,UPI
B-25158,82,-33,4,Clothing,Kurti,COD
B-25159,8,2,2,Clothing,Skirt,UPI
B-25160,1954,782,3,Electronics,Phones,Credit Card
B-25161,1543,370,8,Electronics,Printers,Credit Card
B-25162,1506,-266,6,Electronics,Printers,Credit Card
B-25163,1829,-56,6,Furniture,Tables,Credit Card
B-25164,9,-1,3,Clothing,Skirt,UPI
B-25165,1461,202,5,Furniture,Tables,EMI
B-25166,391,113,8,Clothing,Stole,COD
B-25167,1824,1303,8,Electronics,Phones,Credit Card
B-25168,16,-15,4,Clothing,Hankerchief,UPI
B-25169,1745,122,2,Furniture,Tables,Credit Card
B-25170,663,-212,5,Electronics,Printers,UPI
B-25171,10,-1,1,Clothing,Leggings,UPI
B-25172,1630,802,5,Furniture,Tables,EMI
B-25173,12,0,2,Clothing,Hankerchief,UPI
B-25174,12,-7,2,Clothing,Leggings,UPI
B-25175,1709,564,3,Clothing,Trousers,Credit Card
B-25176,12,3,1,Clothing,Stole,UPI
B-25177,1625,-77,3,Electronics,Phones,EMI
B-25178,13,5,2,Clothing,Hankerchief,UPI
B-25179,1361,980,3,Furniture,Tables,COD
B-25180,1622,-448,3,Electronics,Phones,EMI
B-25181,1547,340,6,Electronics,Accessories,EMI
B-25182,1657,460,4,Furniture,Chairs,Credit Card
B-25183,1603,0,9,Clothing,Saree,Credit Card
B-25184,1549,-439,4,Electronics,Phones,Credit Card
B-25185,1183,106,4,Electronics,Printers,EMI
B-25186,74,-123,8,Clothing,Skirt,UPI
B-25187,1499,239,13,Clothing,Saree,Credit Card
B-25188,1120,199,6,Clothing,Saree,EMI
B-25189,15,-2,1,Clothing,T-shirt,Debit Card
B-25190,1487,624,3,Clothing,Trousers,Credit Card
B-25191,1118,206,2,Furniture,Tables,Credit Card
B-25192,11,-5,2,Clothing,Hankerchief,COD
B-25193,15,4,1,Clothing,Hankerchief,Debit Card
